GAT_Score,IELTS_Score,University_Rating,SOP,LOR,CGPA,Research,Chance_of_Admit
310,101.3,4,1.5,4.0,8.99,0,0.62
303,92.7,3,1.5,1.5,9.21,1,0.54
283,118.7,2,4.5,2.5,4.34,1,0.41
338,105.7,3,3.0,2.5,8.12,0,0.66
318,112.0,3,2.5,2.5,8.46,0,0.65
291,60.8,4,5.0,5.0,8.39,1,0.67
311,73.0,1,3.0,2.0,8.39,0,0.48
321,103.2,1,5.0,2.0,9.62,1,0.68
317,76.7,5,4.5,2.5,5.72,1,0.56
311,81.2,3,5.0,1.0,6.31,1,0.51
271,95.4,1,3.5,5.0,7.23,1,0.51
298,92.6,1,3.0,1.5,5.23,0,0.32
261,73.2,2,3.0,4.0,6.87,0,0.31
262,112.7,5,2.5,3.5,4.88,0,0.35
315,97.7,1,2.0,4.0,8.71,1,0.58
340,101.1,3,5.0,2.5,6.94,0,0.68
318,109.7,1,2.5,2.0,9.83,1,0.68
261,66.1,3,2.0,4.5,8.89,1,0.46
261,88.4,2,4.5,1.0,5.26,1,0.3
313,65.2,1,5.0,2.0,4.21,1,0.4
260,64.4,2,1.0,5.0,5.87,1,0.3
278,103.3,5,1.0,4.5,7.57,0,0.5
261,107.4,1,2.0,1.5,8.81,1,0.4
312,63.1,1,4.5,4.5,5.48,1,0.45
303,110.5,4,1.0,4.5,7.62,1,0.63
291,76.9,2,1.5,5.0,5.44,0,0.33
329,99.3,3,3.5,2.5,9.51,0,0.73
291,101.1,3,4.0,4.5,4.21,1,0.49
327,101.8,1,5.0,2.0,4.31,0,0.48
314,94.8,1,3.5,2.5,4.56,0,0.41
334,66.8,4,2.5,1.0,4.13,1,0.41
315,66.7,4,3.0,4.5,4.27,1,0.49
276,68.5,5,5.0,3.0,6.4,0,0.48
297,115.3,5,1.5,3.5,5.96,0,0.56
283,72.6,1,5.0,3.0,9.4,1,0.52
328,69.2,5,3.5,4.5,8.74,1,0.71
329,119.3,5,3.0,4.5,9.86,0,0.81
270,60.3,2,2.0,1.5,4.75,1,0.3
275,106.6,4,2.5,4.5,4.52,1,0.43
332,110.7,4,3.5,1.5,7.81,1,0.71
318,99.7,5,4.0,3.5,7.72,1,0.69
329,118.5,5,4.0,3.0,5.71,0,0.72
339,80.0,2,5.0,5.0,6.06,0,0.65
262,65.3,3,4.5,3.5,6.25,1,0.4
279,74.4,1,5.0,1.5,7.0,1,0.37
318,66.0,2,2.5,5.0,8.05,1,0.6
295,89.2,4,4.0,2.0,5.81,1,0.51
278,117.9,3,3.0,1.5,5.13,1,0.43
326,91.1,1,4.5,3.5,7.75,1,0.69
278,79.5,4,4.0,5.0,5.79,0,0.42
279,114.4,3,5.0,3.5,4.0,0,0.42
330,96.8,4,4.0,4.0,7.61,0,0.72
311,115.8,3,4.0,3.0,8.14,1,0.67
292,117.9,3,2.5,4.0,8.85,1,0.69
299,116.2,4,5.0,2.5,4.99,1,0.54
298,101.5,1,1.0,4.0,5.21,0,0.34
260,90.1,4,5.0,4.0,7.91,1,0.56
270,77.4,4,1.5,1.5,9.78,1,0.44
316,116.5,1,4.0,3.0,7.89,0,0.62
309,92.7,5,4.5,2.5,7.09,1,0.63
282,119.7,1,4.0,2.5,8.25,0,0.52
290,115.1,3,5.0,4.5,5.43,1,0.57
301,82.7,1,3.0,3.5,7.74,0,0.45
266,112.5,3,5.0,5.0,8.31,1,0.63
275,92.1,5,4.5,4.5,6.13,0,0.42
319,104.6,3,5.0,1.0,5.57,0,0.49
261,88.9,2,2.0,4.0,4.4,0,0.3
260,119.4,1,4.0,3.0,6.51,1,0.42
307,83.9,2,4.0,1.5,6.24,0,0.39
271,65.7,5,5.0,2.5,8.28,0,0.43
328,111.5,5,1.0,2.5,9.27,1,0.75
296,105.4,1,1.0,1.0,9.71,0,0.42
291,67.6,3,4.0,3.0,8.26,1,0.53
268,90.3,5,3.0,2.5,9.05,0,0.45
278,100.7,2,2.0,4.5,5.94,1,0.42
307,84.6,1,3.0,4.5,7.03,1,0.57
339,114.5,4,1.0,1.0,4.91,0,0.49
262,116.6,2,4.0,2.0,9.45,0,0.51
279,112.1,5,4.5,5.0,6.53,0,0.57
283,91.8,2,1.5,3.5,9.01,0,0.48
313,87.2,2,3.0,2.0,7.29,1,0.51
292,95.1,2,2.5,1.5,4.74,0,0.3
283,91.0,5,3.5,3.5,6.74,0,0.45
334,65.9,3,3.0,3.5,7.93,1,0.62
331,107.3,2,3.0,4.0,4.7,0,0.52
295,116.5,2,4.0,1.5,9.67,1,0.64
297,89.4,5,4.5,2.0,5.11,0,0.39
284,63.7,1,5.0,2.5,9.69,0,0.45
277,79.4,4,5.0,1.5,6.3,1,0.4
325,67.4,5,1.0,1.0,8.76,0,0.57
313,118.8,5,4.0,4.5,4.06,1,0.62
294,68.2,5,2.0,5.0,4.94,0,0.39
339,64.8,4,1.5,1.5,7.57,1,0.54
320,91.3,3,4.0,1.0,8.8,1,0.61
300,63.9,2,2.5,3.5,8.9,0,0.45
292,98.0,2,3.0,3.0,8.77,1,0.56
327,112.1,5,2.0,2.0,9.95,1,0.77
292,75.0,2,3.5,4.0,8.69,0,0.5
273,115.6,3,3.0,4.5,5.81,1,0.51
280,98.8,2,4.5,5.0,9.38,0,0.65
307,69.8,1,1.0,5.0,9.0,0,0.53
279,98.7,3,3.5,4.5,5.99,0,0.47
267,64.4,5,5.0,3.5,6.34,1,0.51
266,81.0,1,1.5,1.5,9.71,1,0.37
326,61.0,3,4.0,2.5,7.36,0,0.5
276,86.5,1,4.5,2.5,8.15,1,0.39
292,109.9,3,2.5,1.0,4.87,1,0.34
307,101.8,4,3.0,4.5,8.39,0,0.67
335,71.9,2,2.5,3.5,7.13,1,0.57
318,71.0,4,4.5,2.0,9.79,0,0.6
281,102.3,5,4.0,2.0,4.51,0,0.42
289,100.0,4,2.0,4.5,8.08,1,0.62
297,68.5,2,2.0,2.0,8.8,0,0.4
310,100.3,3,2.0,4.5,9.78,1,0.77
313,106.8,1,4.5,4.5,5.75,0,0.53
267,106.0,3,2.5,2.0,5.83,1,0.43
286,84.3,3,1.0,1.0,4.65,1,0.3
286,108.8,1,1.5,2.0,9.95,0,0.48
280,83.4,1,2.5,5.0,8.28,0,0.46
289,98.7,1,4.5,2.5,7.52,0,0.42
287,105.6,4,1.5,4.5,4.55,1,0.47
323,105.3,5,3.5,5.0,8.05,0,0.76
328,80.8,1,4.0,4.5,7.79,0,0.63
320,94.2,1,4.0,4.5,6.39,0,0.54
307,96.8,4,3.0,4.5,6.45,1,0.61
278,74.1,2,4.5,2.5,4.62,1,0.34
263,60.5,4,1.5,1.5,6.97,0,0.3
294,66.0,5,4.0,4.5,4.48,1,0.46
323,62.1,2,1.0,5.0,9.0,0,0.52
308,77.9,5,1.0,4.0,9.63,1,0.65
276,79.6,4,4.0,1.5,6.89,0,0.38
303,112.0,4,5.0,2.0,4.92,1,0.58
289,67.5,1,1.5,3.5,7.03,1,0.38
305,71.1,3,4.5,2.0,7.82,0,0.55
265,97.2,1,3.5,1.0,8.12,1,0.36
296,88.1,1,3.0,3.0,6.95,1,0.46
283,119.6,3,3.0,1.5,9.2,0,0.54
305,105.7,4,1.5,2.5,7.41,1,0.56
312,76.2,3,2.0,3.5,8.91,0,0.49
319,103.3,3,3.5,1.0,7.71,0,0.55
322,73.7,5,1.0,5.0,6.15,1,0.57
291,100.9,2,3.0,3.5,5.51,1,0.49
292,62.2,1,4.0,1.0,5.41,1,0.3
326,72.0,4,5.0,4.5,9.23,1,0.83
277,66.2,2,4.0,5.0,7.94,0,0.41
284,85.7,3,3.5,1.0,7.01,0,0.38
313,93.2,4,4.5,4.5,5.62,0,0.57
317,75.6,3,4.5,5.0,9.16,0,0.69
326,118.7,3,1.5,4.5,4.15,0,0.51
305,84.6,5,5.0,1.0,4.11,0,0.41
283,93.7,1,4.0,5.0,6.66,0,0.44
291,87.8,4,3.0,4.5,6.45,0,0.49
306,111.8,1,5.0,1.0,8.43,1,0.63
282,82.2,1,1.5,1.5,9.88,1,0.53
325,116.6,5,2.5,1.0,9.24,1,0.69
286,108.3,3,2.5,5.0,4.92,1,0.52
261,64.5,2,3.0,1.5,6.66,0,0.3
276,113.0,1,3.0,5.0,9.6,1,0.62
292,70.9,4,2.0,4.0,7.39,0,0.42
268,63.6,3,1.5,4.0,9.08,0,0.45
302,73.3,4,3.5,1.0,5.29,1,0.41
307,65.1,1,3.0,4.0,7.08,1,0.48
298,97.3,3,4.5,1.5,5.97,1,0.52
301,86.8,2,4.5,1.5,6.56,1,0.48
285,88.5,3,2.0,4.0,8.96,0,0.48
309,97.0,3,3.5,2.0,6.34,1,0.52
284,89.9,5,3.0,2.0,7.61,1,0.54
283,119.5,1,4.0,2.5,4.35,0,0.34
272,97.4,4,1.5,3.0,6.83,1,0.46
319,95.2,1,1.0,4.5,9.74,1,0.68
266,84.9,1,3.0,2.5,4.51,1,0.3
316,86.8,3,1.0,1.0,6.08,0,0.44
295,119.4,4,4.0,5.0,7.69,0,0.65
304,60.3,5,5.0,4.0,5.77,1,0.48
279,69.3,3,2.5,3.0,6.75,0,0.38
324,80.6,5,2.5,5.0,9.28,1,0.73
267,114.3,4,5.0,4.0,7.97,0,0.59
275,116.3,3,4.5,2.0,8.51,1,0.57
273,63.5,3,2.5,3.5,4.95,0,0.3
335,68.5,1,1.5,1.0,4.21,0,0.3
274,112.9,1,2.5,4.5,6.43,0,0.36
325,76.3,3,3.0,3.5,9.05,1,0.65
291,84.1,3,3.0,2.0,4.95,0,0.31
322,60.3,3,2.0,2.5,7.19,0,0.44
310,89.5,3,5.0,2.5,6.29,0,0.51
284,111.9,4,4.0,1.5,4.26,1,0.43
317,81.9,5,2.0,2.5,8.54,0,0.59
322,112.9,2,1.5,4.0,7.09,0,0.6
321,80.8,5,1.0,3.0,4.57,1,0.46
281,99.5,1,1.5,3.0,9.01,0,0.44
317,77.6,5,4.0,1.5,5.75,1,0.54
317,90.9,4,2.5,1.0,8.74,1,0.6
308,109.7,2,3.5,4.0,6.28,0,0.56
311,110.9,4,4.5,4.5,8.97,1,0.85
301,64.6,5,4.5,2.0,8.57,1,0.62
329,115.8,2,3.0,3.5,9.92,1,0.78
274,91.3,1,3.5,2.0,4.31,0,0.3
313,73.2,5,1.0,5.0,7.2,0,0.5
319,109.9,5,4.5,5.0,6.5,1,0.72
267,98.1,5,4.0,2.5,9.82,1,0.61
312,90.5,2,3.0,1.5,6.69,0,0.41
319,108.7,5,3.5,1.0,6.81,1,0.63
264,72.2,4,4.0,3.0,7.79,1,0.48
327,94.9,4,1.5,1.5,8.36,0,0.58
265,117.7,2,3.5,4.0,5.26,1,0.46
306,98.2,5,1.0,5.0,7.28,0,0.52
314,95.9,5,1.0,1.5,5.3,0,0.43
299,61.8,2,3.0,1.5,5.11,1,0.35
311,71.0,5,1.0,4.0,4.18,1,0.39
275,96.7,1,1.5,1.5,6.36,0,0.3
272,102.2,1,2.0,2.5,4.1,0,0.3
289,114.0,1,4.0,1.0,4.41,1,0.36
278,112.3,4,2.0,3.0,6.39,1,0.53
276,81.6,5,2.5,5.0,5.64,0,0.36
322,101.4,5,4.5,2.5,5.2,1,0.65
278,87.8,1,2.0,4.0,4.93,1,0.34
317,88.6,5,3.5,2.5,9.02,1,0.66
314,116.7,3,2.5,4.0,5.26,0,0.54
321,104.0,2,3.5,4.0,9.81,0,0.7
282,118.1,4,5.0,3.0,7.59,0,0.58
268,106.5,4,3.0,2.0,4.54,1,0.38
271,103.5,1,4.0,2.5,4.24,0,0.3
260,85.7,2,3.5,4.0,8.42,0,0.41
317,66.4,3,2.0,1.5,5.75,0,0.33
260,97.8,4,3.0,2.5,9.59,1,0.52
293,88.1,2,1.5,3.0,5.35,1,0.34
307,95.4,3,2.0,3.0,7.1,1,0.53
260,76.9,4,2.5,4.0,4.5,1,0.3
275,71.8,3,4.0,2.5,9.61,1,0.52
320,75.9,2,3.5,5.0,4.07,1,0.5
323,99.5,4,4.0,2.0,6.77,1,0.64
322,117.2,5,2.0,2.0,6.46,1,0.63
328,119.5,4,2.0,5.0,5.09,1,0.58
281,108.5,1,4.0,4.0,6.13,0,0.41
326,117.5,5,1.5,3.0,7.58,0,0.66
335,77.0,4,3.0,2.5,4.42,1,0.47
285,60.2,1,5.0,2.5,9.04,1,0.48
275,71.6,4,1.5,4.0,6.51,1,0.37
310,98.1,5,4.5,5.0,5.96,0,0.6
316,114.0,2,1.0,5.0,5.71,0,0.52
288,114.9,2,4.5,1.5,9.93,1,0.67
337,109.8,4,3.5,5.0,8.68,0,0.76
328,105.7,1,3.5,1.5,5.22,0,0.46
306,78.3,5,4.5,2.0,9.89,0,0.64
321,65.3,4,2.5,4.5,8.76,1,0.67
328,91.5,5,2.0,3.5,8.42,1,0.68
335,80.1,4,3.0,4.5,7.71,1,0.66
275,67.7,2,2.0,5.0,4.88,0,0.3
307,87.5,3,3.5,5.0,5.84,0,0.53
298,91.5,5,2.0,5.0,6.57,1,0.57
292,106.5,4,4.0,1.0,5.99,0,0.48
282,108.5,4,3.5,4.0,7.8,0,0.55
269,88.1,4,3.0,4.0,8.97,1,0.54
328,115.2,3,2.0,5.0,7.44,0,0.68
293,107.3,4,4.0,4.5,4.74,0,0.5
311,85.9,2,2.0,5.0,9.18,1,0.62
269,81.0,4,1.0,1.5,6.77,1,0.3
278,79.1,1,2.0,3.5,8.27,0,0.35
317,87.8,5,4.5,2.5,8.77,1,0.73
260,79.8,5,2.5,4.5,6.21,1,0.41
328,88.1,3,1.0,2.0,6.6,0,0.43
263,94.6,5,1.0,2.5,7.94,0,0.43
275,70.0,2,1.5,2.5,6.61,0,0.3
283,107.9,1,2.0,1.5,7.92,0,0.4
339,66.8,3,2.0,2.0,9.39,1,0.64
261,84.3,5,4.0,4.0,7.94,0,0.48
291,69.9,4,2.5,4.5,7.36,1,0.5
283,78.2,5,2.5,2.5,8.83,1,0.52
271,87.5,2,1.0,1.5,7.43,0,0.3
309,104.9,5,4.0,3.5,6.01,1,0.67
294,97.6,5,1.0,2.5,8.07,1,0.53
292,81.6,2,1.0,5.0,9.82,1,0.61
292,95.5,1,4.5,1.0,4.3,0,0.32
320,77.8,4,5.0,4.5,4.58,0,0.52
310,110.3,5,3.0,3.0,8.34,1,0.73
302,89.0,4,3.0,5.0,5.91,0,0.49
271,103.0,5,3.0,1.0,8.37,0,0.48
326,78.7,1,1.0,2.0,5.7,0,0.31
324,100.6,1,1.5,1.0,7.29,0,0.44
292,115.6,5,2.5,1.5,9.91,1,0.65
299,66.5,5,3.5,4.0,5.89,1,0.53
333,95.4,4,2.0,1.0,6.83,1,0.61
302,90.1,1,5.0,5.0,9.68,0,0.67
303,92.5,4,1.0,4.0,6.54,0,0.48
288,71.7,2,3.0,4.5,6.21,0,0.4
272,61.6,3,3.5,2.5,5.05,1,0.3
271,64.3,5,3.5,4.5,9.94,1,0.54
305,77.1,5,2.0,5.0,7.31,1,0.59
261,111.3,4,1.5,3.5,7.98,1,0.43
294,108.4,5,2.5,1.0,4.69,0,0.42
340,119.7,2,1.0,2.0,4.48,1,0.46
267,104.4,1,2.0,3.5,7.26,0,0.35
285,81.1,2,2.0,1.0,4.5,1,0.3
333,115.1,5,3.0,2.0,7.59,1,0.74
293,107.4,4,3.0,3.0,4.44,0,0.42
266,101.9,1,4.5,1.0,4.73,1,0.33
327,92.2,2,5.0,1.0,8.64,0,0.62
317,103.0,2,3.5,4.5,9.49,1,0.69
334,117.5,4,2.0,2.5,5.68,0,0.59
288,111.7,5,3.5,4.0,6.14,0,0.56
295,71.7,1,3.5,2.5,8.17,1,0.47
280,65.9,1,2.0,5.0,6.14,1,0.35
295,61.0,5,2.0,4.0,7.15,1,0.48
269,102.8,1,3.0,2.5,6.47,1,0.35
332,76.7,3,3.0,2.0,9.03,1,0.66
283,103.1,1,2.5,2.0,5.29,0,0.3
323,71.0,4,3.0,4.5,6.88,1,0.63
308,86.2,3,1.0,1.5,5.31,1,0.35
295,60.8,3,3.5,1.5,7.66,1,0.43
283,66.5,2,2.5,3.5,6.98,1,0.34
282,64.9,3,1.5,1.0,4.62,0,0.3
321,107.4,5,1.5,3.0,8.18,1,0.71
296,114.3,1,3.5,4.0,9.51,1,0.63
271,70.5,2,3.5,3.0,7.83,1,0.44
314,91.5,2,3.5,1.5,7.78,0,0.49
272,69.0,4,2.5,2.5,7.38,1,0.4
282,106.8,4,4.5,2.5,9.66,1,0.68
289,109.2,5,1.0,2.5,4.59,1,0.43
276,107.1,4,2.0,1.5,5.01,1,0.36
321,75.1,3,2.0,2.0,5.68,1,0.44
272,80.3,5,3.0,2.0,5.84,1,0.37
318,72.5,1,2.5,4.0,8.76,0,0.53
278,60.2,5,3.5,4.5,7.64,1,0.49
308,63.9,1,1.5,3.0,7.91,0,0.39
271,119.2,4,2.0,2.5,5.61,0,0.39
320,114.8,3,4.0,1.0,4.51,1,0.54
278,64.8,1,1.0,3.0,7.59,0,0.3
335,87.7,1,1.5,3.5,4.07,0,0.38
268,118.5,5,3.0,3.0,7.37,1,0.55
330,63.3,2,4.5,4.5,6.36,0,0.56
287,100.1,3,4.0,1.5,5.13,0,0.33
337,66.4,2,2.5,4.0,9.75,0,0.64
311,80.9,5,2.0,3.0,6.01,1,0.55
275,62.8,2,2.5,4.0,7.49,0,0.36
328,95.9,3,5.0,4.5,4.91,0,0.57
271,102.1,2,4.0,2.5,5.55,0,0.37
284,62.5,3,2.0,3.0,9.16,0,0.41
311,90.2,3,2.0,2.5,8.69,0,0.51
312,77.9,3,5.0,1.5,6.97,1,0.52
282,102.6,1,4.5,4.5,6.3,0,0.4
275,90.6,4,4.0,2.0,7.05,1,0.39
316,61.0,5,5.0,1.0,6.78,0,0.52
298,75.9,5,3.0,2.5,7.67,1,0.56
312,89.2,4,1.0,3.5,7.12,1,0.55
301,65.8,3,3.0,3.0,8.06,0,0.46
317,113.1,3,3.5,3.0,4.34,1,0.57
298,113.8,1,1.5,2.0,7.73,1,0.5
273,66.8,1,3.0,1.0,9.71,0,0.34
264,113.0,1,4.0,2.0,9.22,0,0.52
294,94.4,5,2.5,2.5,5.13,0,0.37
334,111.9,2,1.5,2.5,7.8,1,0.65
277,97.7,5,3.0,5.0,6.04,1,0.56
335,115.0,3,1.5,4.0,7.24,1,0.76
268,87.6,5,4.0,3.5,6.07,0,0.42
333,119.9,3,4.5,3.0,7.52,1,0.73
317,111.5,2,3.5,2.0,8.51,0,0.62
276,97.8,2,5.0,4.0,5.28,0,0.42
266,83.5,3,1.0,4.5,4.92,0,0.3
305,96.9,3,2.5,4.0,6.43,0,0.45
272,103.7,1,3.0,1.5,4.35,1,0.3
299,80.6,2,3.5,3.0,7.75,0,0.48
301,92.5,5,1.0,1.0,6.76,0,0.38
268,113.4,4,4.5,4.5,7.15,1,0.55
309,117.1,5,1.5,4.5,9.55,1,0.78
286,97.1,4,1.0,2.5,9.68,1,0.56
325,69.0,3,1.0,1.0,7.6,0,0.44
264,106.0,4,1.5,2.5,6.61,0,0.36
288,74.9,1,2.0,3.5,7.82,1,0.42
296,63.9,5,1.5,5.0,4.56,1,0.41
297,82.3,2,3.0,4.0,4.96,0,0.38
